cc_feature,weekday_feature,reply_time,list_feature
1,3,332.0,0
1,0,37623.0,0
1,0,14056.0,0
1,2,183.0,0
1,3,1184.0,0
1,6,22303.0,0
4,0,377.0,0
1,4,2137.0,0
1,1,24.0,0
1,4,10901.0,0
1,5,11181.0,0
-1,0,12474.0,0
1,2,42130.0,0
1,3,21130.0,0
1,2,79257.0,0
1,4,38058.0,0
1,3,120.0,0
1,1,487.0,0
1,1,80067.0,0
1,0,13712.0,0
1,3,1861.0,0
1,4,1223.0,0
2,2,354.0,0
1,1,14816.0,0
1,1,34734.0,0
1,1,30842.0,0
3,2,3766.0,1
4,6,2380.0,0
1,3,17462.0,0
2,3,137.0,0
1,5,39901.0,0
1,4,1293.0,0
1,3,76.0,0
-1,0,11889.0,0
1,1,32.0,0
1,3,207.0,0
1,3,9443.0,0
1,3,8455.0,0
3,2,10386.0,0
-1,0,11305.0,0
1,1,24.0,0
1,3,10983.0,0
1,2,890.0,0
1,2,94.0,0
1,3,211.0,0
3,2,962.0,0
1,0,506.0,0
1,0,28278.0,0
1,1,72221.0,0
1,1,438.0,0
1,1,81.0,0
1,3,103.0,0
1,2,11096.0,0
1,0,2725.0,0
2,4,69656.0,0
1,0,11022.0,0
1,2,24205.0,0
1,2,105.0,0
2,2,217.0,0
1,5,7981.0,0
2,2,419.0,0
1,3,435.0,0
1,3,29512.0,0
